zi	pinyin
狛	bó
狋	yí
狚	dàn
狜	kǔ
狑	líng
狔	nǐ
狏	tuó
狘	xuè
狕	yǎo
独	dú
狠	hěn
狟	huān
狡	jiǎo
狯	kuài
狨	róng
狮	shī
狩	shòu
狲	sūn
狭	xiá
狱	yù
狰	zhēng
狥	xùn
狫	lǎo
狢	hé
狤	jié
狦	shān
狧	tà
狪	tóng
狿	yán
狣	zhào
狴	bì
狷	juàn
狼	láng
狸	lí
猁	lì
狻	suān
猃	xiǎn
狺	yín
狳	yú
狾	zhì
狹	xiá
狽	bèi
猂	hàn
狶	xī
狵	máng
猐	qiāng
猀	shā
猜	cāi
猖	chāng
猝	cù
猄	jīng
猎	liè
猡	luó
猫	máo,māo
猛	měng
猕	mí
猊	ní
猅	pái
猞	shē
猇	xiāo
猗	yī
猘	zhì
猪	zhū
猈	bài
猠	ce o n
猓	guō
猏	jiān
猑	kūn
猍	lái
猟	liè
猉	qí
猚	yá
猧	wō
猙	zhēng
猔	zòng
猹	chá,zhā
猲	hè,xiē
猴	hóu
猢	hú
猾	huá
猸	méi
猱	náo
猥	wěi
猬	wèi
猩	xīng
猰	yà
猨	yuán
猶	yóu
猵	biān
猭	chuàn
猦	fēng
猤	guì
猳	jiā
獇	qiāng
獀	sōu
猯	tuān
猣	zōng
猺	yáo
猿	yuán
獉	zhēn
獁	mǎ
獅	shī
猻	sūn
獓	áo
猼	bó
獊	cāng
獆	háo
獏	mò
猽	míng
獈	yì
獂	huán
獕	cuī
獚	huáng
獍	jìng
獐	zhāng
獄	yù
獙	bì
獑	chán
獔	háo
獌	màn
獡	shuò
獗	jué
獠	lǎo,liáo
獋	háo
獛	pú
獤	du n
獦	gé
獜	lín
獞	tóng
獟	yào
獢	xiāo
獝	xù
獲	huò
獴	měng
獭	tǎ
獬	xiè
獧	juàn
獨	dú
獫	xiǎn
獪	kuài
獩	huì
獥	jiào
獯	xūn
獮	xiǎn
獰	níng
獷	guǎng
獱	biān
獳	nòu
獵	liè
獶	náo
獺	tǎ
獹	lú
獾	huān
獼	mí
獽	ráng
玁	xiǎn
玀	luó
獿	náo
玂	qí
玃	jué
山	shān
屲	wā
屶	huì
屵	àn
屷	huì
屴	lì
屳	xiān
岌	jí
岂	qǐ
屺	qǐ
岁	suì
屼	wù
屹	yì
屿	yǔ
屽	hàn
岀	chū
岋	è
屸	hóng
屻	rèn
屾	shēn
岃	yin
岙	ào
岜	bā
岑	cén
岔	chà
岛	dǎo
岗	gàng,gǎng,gāng
岚	lán
岐	qí
岍	qiān
岖	qū
岘	xiàn
岈	yá
岅	bǎn
岠	jù
岇	áng
岊	jié
岕	jiè
岓	qí
岒	qián
岏	wán
岉	wù
岆	yǎo
岄	yuè
岸	àn
岱	dài
岽	dōng
岣	gǒu
岵	hù
岬	jiǎ
岢	kě
岿	kuī
岭	lǐng
峁	mǎo
岷	mín
岧	tiáo
峂	tóng
岫	xiù
峃	xué
岩	yán
峄	yì
岳	yuè
岡	gāng
岞	zuò
岰	ào
峀	xiù
峅	biɑn
岾	zɑi
岻	dī
岪	fú
岨	jū
岲	kuàng
岦	lì
岺	lǐng
岯	pī
岼	ping
岥	pō
岶	pò
岴	qū
岹	tiáo
岮	tuó
岤	xuè
岟	yǎng
岝	zuò
峒	dòng,tóng
峧	jiāo
峤	jiào,qiáo
峦	luán
峙	shì,zhì
峡	xiá
峋	xún
峣	yáo
峥	zhēng
峕	shí
峝	tóng
峖	ān
峇	kè
峸	chéng
峌	dié
峉	é
峎	ěn
峏	ér
峊	fù
峐	gāi
峠	qiǎ
峆	hé
峘	huán
峜	fǎ
峛	lǐ
峢	lǐ
峍	lù
峈	luò
峚	mì
峔	mǔ
峑	quán
峗	wéi
峞	wéi
峫	xié
峓	yí
峟	yòu
峬	bū
峨	é
峰	fēng
峻	jùn
崁	kàn
崃	lāi
崀	làng
崂	láo
峱	náo
峭	qiào
峪	yù
峽	xiá
峴	xiàn
峩	é
島	dǎo
峯	fēng
峼	gào
峺	gěng
崋	huà
峲	lǐ
崅	què
峮	qún
峵	róng
峷	shēn
峹	tú
峿	wú
崄	xiǎn
峾	yín
峳	yōu
崩	bēng
崇	chóng
崔	cuī
崮	gù
崞	guō
崌	jū
崛	jué
崆	kōng
崚	líng
崎	qí
崤	xiáo
崖	yá
崦	yān
崟	yín
崭	zhǎn
崒	zú
崧	sōng
崬	dōng
崕	yá
崍	lái
崗	gǎng
崑	kūn
崐	kūn
崯	yín
崘	lún
崙	lún
崪	zú
崥	pí
崈	chóng
崠	dōng
崜	duǒ
崓	gù
崡	hán
崨	jié
崫	jué
崊	lín
崏	mín
崉	tà
崣	wěi
崝	zhēng
崢	zhēng
崰	zī
嵖	chá
嵯	cuó
崿	ě
嵇	jī
嵁	kān
嵝	lǒu
嵋	méi
嵌	qiàn
嵚	qīn
嵘	róng
崴	wǎi,wēi
嵬	wéi
嵎	yú
嵛	yú
崽	zǎi
嵫	zī
嵗	suì
嵐	lán
嵳	cuó
崵	yáng
崼	shì
崶	fēng
嵅	hán
嵈	huàn
崲	huáng
嵆	jī
嵑	kě
嵙	ke
嵂	lǜ
嵍	wù
嵄	měi
嵒	yán
嵜	qi
崷	qiú
崹	tí
嵉	tíng
嵔	wēi
嵃	yǎn
嵓	yán
崸	yáng
崾	yǎo
崺	yǐ
崳	yú
崱	zè
崻	zhì
嵀	zhù
嵏	zōng
嵕	zōng
嶅	áo
嵴	jí
嵲	niè
嵊	shèng
嵩	sōng
嵠	xī
嵦	kǎi
嵭	bēng
嵢	cāng
嵣	dàng
嵮	diān
嵟	cuī
嵥	jié
嵪	kāo
嵧	liú
嵰	qīn
嵤	róng
嵶	ruo
嵵	shi
嵞	tú
嵡	wěng
嵨	wù
嵱	yǒng
嶍	xí
嶂	zhàng
嵸	zōng
嵽	dié
嶄	zhǎn
嶃	zhǎn
嶇	qū
嶁	lǒu
嵾	cēn
嶆	cáo
嵼	yǎn
嶉	wěi
嶋	dǎo
嶌	dǎo
嵿	dǐng
嶞	tuò
嵺	liáo
嵻	kāng
嶐	lóng
嶈	qiāng
嵷	sǒng
嶀	tū
嶑	xiàng
嶎	yù
嶊	zuǐ
嶓	bō
嶒	céng
嶝	dèng
嶙	lín
嶟	zūn
嶢	yáo
嶠	jiào
嶴	ào
嶔	qīn
嶗	láo
嶡	jué
嶯	jí
嵹	jiàng
嶕	jiāo
嶣	jiāo
嶜	qín
嶥	jué
嶱	kě
嶚	liáo
嶛	liáo
嶏	pǐ
嶖	yān
嶤	yáo
嶘	zhàn
嶰	xiè
嶪	yè
嶩	náo
嶧	yì
嶼	yǔ
嶨	xué
嶮	xiǎn
嶳	dì
嶭	niè
嶦	zhān
嶶	wei
嶫	yè
嶬	yí
嶵	zuì
嶷	nì,yí
嶽	yuè
嶺	lǐng
嶹	dǎo
嶻	jié
巁	lì
嶸	róng
嶿	ru
嶾	yǐn
巂	xī,xī
嶲	guī
巀	jié
巅	diān
巆	yíng
巌	yán
巉	chán
巍	wēi
巇	xī
巈	jú
巃	lóng
巄	lóng
巏	quán
巊	yǐng
巋	kuī
巐	chǎo
巎	náo
巓	diān
巒	luán
巖	yán
巗	yán
巑	cuán
巕	niè
巘	yǎn
巔	diān
巚	yǎn
巙	kuí
彡	shān
彤	tóng
形	xíng
彣	wén
彦	yàn
彥	yàn
彧	yù
彨	chī
彪	biāo
彬	bīn
彩	cǎi
彫	diāo
彭	péng
彮	yǒng
彰	zhāng
彯	piāo
影	yǐng
篸	cǎn,zān
彲	chī
尸	shī
尺	chě,chǐ
尹	yǐn
尻	kāo
尼	ní,nǐ
尽	jìn,jǐn
层	céng
局	jú
尿	niào,suī
屁	pì
尾	wěi,yǐ
屃	xì
屄	bī
届	jiè
居	jū
屈	qū
屉	tì
屆	jiè
屇	tián
屏	bǐng,bīng,píng
屌	diǎo
屎	shǐ
屋	wū
屍	shī
屙	ē
屐	jī
屑	xiè
展	zhǎn
屘	mǎn
屔	ní
屖	xī
屓	xì
屒	zhěn
屠	tú
屜	tì
屝	fèi
屚	lòu
屛	pǐng
屡	lǚ
属	shǔ,zhǔ
屟	xiè
屣	xǐ
屢	lǚ
屦	jù
履	lǚ
層	céng
屧	xiè
屨	jù
屩	juē
屪	liáo
屫	juē
屬	shǔ
屭	xì
饣	shí
饤	dìng
饥	jī
饦	tuō
饧	xíng
饬	chì
饭	fàn
饪	rèn
饨	tun
饩	xì
饮	yìn,yǐn
饫	yù
饱	bǎo
饳	duǒ
饯	jiàn
饰	shì
饲	sì
饴	yí
饼	bǐng
饵	ěr
饹	gē,le
饸	hé
饺	jiǎo
饶	ráo
饻	xī
饷	xiǎng
饽	bō
饾	dòu
饿	ě
馂	jùn
馁	něi
馀	yú
馆	guǎn
馃	guǒ
馄	hún
馅	xiàn
馇	chā
馋	chán
馉	gǔ
馈	kuì
馊	sōu
馎	bó
馏	liú,liù
馍	mó
馐	xiū
馌	yè
馑	jǐn
馒	mán
馓	sǎn
馔	zhuàn
馕	náng,nǎng
士	shì
壬	rén
壭	sɑn
壮	zhuàng
壳	ké,qiào
声	shēng
壯	zhuàng
売	mài
壱	yī
壴	zhù
壵	zhuàng
壶	hú
壸	kǔn
壷	hú
壹	yī
壻	xù
壺	hú
壼	kǔn
壾	mǎng
壽	shòu
夀	shòu
壿	dun
夁	yī
才	cái
扌	shǒu
扎	zā,zhá,zhā
扒	bɑ,pá
打	dá,dǎ
扑	pū
扔	rēng
扐	lè
払	fǎn
扏	qiú
扖	hɑ me ru
扱	chā
扛	gāng,káng
扢	gē
扞	hàn
扣	kòu
扩	kuò
扪	mén
扦	qiān
扫	sào,sǎo
托	tuō
扤	wù
扬	yáng
执	zhí
扠	chā
扡	tuō
扥	dèn
扚	diǎo
扝	yū
扨	sɑ te
扟	shēn
扜	yū
扗	zài
扙	zhàng
把	bà,bǎ
扳	bān,pān
扮	bàn
报	bào
抃	biàn
抄	chāo
扯	chě
扽	dèn
抖	dǒu
扼	ě
扶	fú
抚	fǔ
护	hù
技	jì
拒	jù
抉	jué
抗	kàng
抠	kōu
抡	lún,lūn
拟	nǐ
扭	niǔ
抛	pāo
批	pī
抔	póu
抢	qiǎng,qiāng
扰	rǎo
折	shé,zhé,zhē
抒	shū
投	tóu
抟	tuán
抏	wán
抆	wěn
抑	yì
抈	yuè
找	zhǎo
扺	zhǐ
抓	zhuā
抝	ǎo
扷	bā
抜	bɑ
抌	dǎn
抙	póu
抅	jū
抇	hú
扴	jiá
抸	jiā
扻	zhì
抂	kuáng
抐	nè
扲	qián
抋	qìn
扸	xī
抁	yǎn
扵	yú
抎	yǔn
抣	yun
択	ze
抍	zhěng
拗	ào,ǎo,niù
拔	bá
拌	bàn,pàn,pān
抱	bào
拨	bō
拆	cā,chāi
抻	chēn
抶	chì
抽	chōu
担	dàn,dān
抵	dǐ
拂	fú
拊	fǔ
拐	guǎi
拣	jiǎn
拘	jū
拉	lá,lǎ,lā
拦	lán
拎	līn
拢	lǒng
抹	mā,mò,mǒ
抿	mǐn
拇	mǔ
拈	niān
拧	níng,nìng,nǐng
拍	pāi
拚	pàn,pīn
抨	pēng
披	pī
抪	pū
拤	qiá
拑	qián
拓	tà,tuò
抬	tái
拖	tuō
押	yā
拥	yōng
择	zé,zhái
拃	zhǎ
招	zhāo
拄	zhǔ
拙	zhuō
抴	yè
拋	pāo
拕	tuō
拝	bài
抦	bǐng
拀	zhù
拞	dǐ
抲	hē
拁	jiā
拠	jù
拡	kuò
抺	mèi
抩	nán
抳	nǐ
抷	pī
抾	qū
抭	yǎo
抰	yāng
抯	zhā
抧	zhǐ
抮	zhěn
按	àn
持	chí
挡	dàng,dǎng
挏	dòng
挌	gé
拱	gǒng
挂	guà
挥	huī
挤	jǐ
挢	jiǎo
拮	jié
拷	kǎo
挎	kuà
括	kuò
挠	náo
挪	nuó
拼	pīn
拾	shè,shí
拭	shì
拴	shuān
挞	tà
挑	tiǎo,tiāo
挺	tǐng
挖	wā
挝	wō,zhuā
挦	xián
挟	xié
挜	yà
拽	yè,zhuài,zhuāi
拶	zā,zǎn
挓	zhā
挣	zhèng,zhēng
拯	zhěng
指	zhǐ
挀	bāi
挷	bàng
拺	cè
拸	yí
拵	cún
挃	zhì
挕	dié
挅	duò
挆	duǒ
挄	kuò
拫	hén
拻	huī
挍	jiào
挗	jué
挒	liè
挘	lie ri
挔	lǚ
捛	lǚ
拰	nǐn
挊	nòng
拪	qiān
挻	shān
拹	xié
捓	yé
挧	yǔ
挋	zhèn
挨	ái,āi
捌	bā
捕	bǔ
挫	cuò
捣	dǎo
捍	hàn
换	huàn
捡	jiǎn
捄	jū
挶	jū
捐	juān
捃	jùn
捆	kǔn
捞	lāo
捋	lǚ,luō
捏	niē
挼	ruó
捎	shào,shāo
损	sǔn
捅	tǒng
捝	tuō
挽	wǎn
捂	wǔ
挹	yì
振	zhèn,zhèn
捉	zhuō
捘	zùn
挵	nòng
挾	xié
挱	suō
挮	tǐ
捠	bāng
挬	bó
捗	bù
挿	chā
捈	tú
挰	chéng
捇	huò
捀	péng
捊	póu
挭	gěng
揤	jí
挸	jiǎn
捁	jiǎo
捔	jué
挳	kēng
挴	měi
捒	shù
挩	tuō
捜	sōu
捖	wán
捤	wei
捙	yè
捑	zè
捚	zhāi
捭	bǎi
掺	càn,chān,shǎn,shān
捶	chuí
措	cuò
掸	dǎn,shàn
捯	dáo
掂	diān
掉	diào
掇	duo,duō
掆	gāng
掼	guàn
掴	guó
掎	jǐ
接	jié,jiē
捷	jié
掬	jū
据	jù,jū
掘	jué
掯	kèn
控	kòng
捩	liè
掳	lǔ
掠	lüè
描	miáo
捺	nà
捻	niǎn,niē
掿	nuò
排	pái,pǎi
捧	pěng
掊	póu,pǒu
掐	qiā
掮	qián
掞	shàn
授	shòu
探	tàn
掏	tāo
掭	tiàn
推	tuī
掀	xiān
掩	yǎn
掖	yè,yē
揶	yé
掷	zhì
捴	zǒng
捽	zuó
掛	guà
掗	yà
捱	ái
捵	chēn
採	cǎi
捨	shě
掄	lūn
捲	juǎn
掽	pèng
捫	mén
掃	sǎo
捹	bèn
掤	bīng
捬	fǔ
掁	chéng
掫	zōu
掋	dǐ
掟	zhěng
掶	jié
掍	hùn
掝	huò
揵	qián
掲	jiē
掚	liǎng
掕	líng
捰	wǒ
掹	mēng
捪	mín
掵	ming
掜	nǐ
捿	qī
掑	qí
捦	qín
掅	qìng
捼	ruó
掻	sāo
掓	shū
掦	tì
捸	tū
捥	wàn
捾	wò
捳	yuè
掙	zhēng
揞	ǎn
揙	biàn
摒	bìng
插	chā
搽	chá
搀	chān
揣	chuài,chuǎi,chuāi
搓	cuō
搭	dā
提	dī,tí
揥	dì,tì
揲	dié,shé
摡	gài
搁	gé,gē
揈	hōng
搰	hú
揃	jiǎn
搅	jiǎo
揭	jiē
揪	jiū
揩	kāi
揢	ké
揆	kuí
揦	lá
揽	lǎn
搂	lǒu,lōu
揿	qìn
揉	róu
揌	sāi
搔	sāo
搜	sōu
揻	wēi
揾	wèn
握	wò
揳	xiē
揎	xuān
揠	yà
揜	yǎn
揖	yī
揄	yú
援	yuán
掾	yuàn
揸	zhā
揍	zòu
揀	jiǎn
揕	zhèn
揹	bēi
揚	yáng
揷	chā
揑	niē
揮	huī
揊	pì
揨	chéng
揰	chòng
搥	chuí
揼	bèng
揯	gèn
搄	gèn
換	huàn
揘	huáng
揂	jiū
揟	xū
揁	zhēng
揇	nǎn
搑	róng
揓	shì
揔	zǒng
揬	tú
揋	wēi
揗	xún
揺	yáo
揝	zǎn
搃	zǒng
摆	bǎi
搬	bān
搒	bàng,péng
摈	bìn
搏	bó
摛	chī
搊	chōu
搐	chù
搋	chuāi
摁	èn
搞	gǎo
搳	huá
搛	jiān
搢	jìn
搕	kē
摸	mō
搦	nuò
搉	què
摋	sà,shā
搡	sǎng
摄	shè
摅	shū
搠	shuò
摊	tān
搪	táng
携	xié
摇	yáo
搌	zhǎn
搘	zhī
損	sǔn
搨	tà
搶	qiǎng
搇	qìn
搗	dǎo
摀	wǔ
搤	è
搧	shān
搾	zhà
摑	guāi
搹	è
摓	féng
搆	gòu
撶	huá
搩	jié
摃	gāng
搚	lā
搮	lì
摙	liǎn
搣	miè
搱	zhì
摂	shè
搙	nù
搝	qiǔ
搼	quán
搈	róng
摉	sōu
搷	tián
搎	sūn
搯	tāo
搲	wā
搵	wèn
搟	xiǎn
搖	yáo
搸	zhēn
摽	biào,biāo
摴	chū
摐	chuāng
摧	cuī
撖	hàn
撂	liào
摞	luò
撇	piě,piē
摔	shuāi
撄	yīng
摘	zhāi
摭	zhí
摶	tuán
摳	kōu
撦	chě
摣	zhā
摟	lǒu
摠	zǒng
摺	zhé
摻	chān
摜	guàn
摬	yǐng
摲	chàn
摖	qì
摌	chǎn
摷	jiǎo
摚	chēng
摤	qiāng
摏	chōng
摢	hù
摕	dì
撗	héng
摫	guī
摦	huà
摪	jiāng
摎	jiū
摼	kēng
摝	lù
摱	mán
摵	sè
撁	qiān
摗	sōu
摍	suō
摥	tàng
撱	wěi
撾	zhuā
摿	yáo
撯	zhuó
擆	zhuó
播	bō
撤	chè
撑	chēng
撺	cuān
撮	cuō,zuǒ
撴	dūn
撝	huī
撅	juē
撧	juē
撩	liáo,liào,liǎo,liāo
撸	lū
撵	niǎn
撚	niǎn
撬	qiào
擒	qín
撒	sǎ,sā
撕	sī
撷	xié
撰	zhuàn
撞	zhuàng
撙	zǔn
撡	cāo
撳	qìn
撓	náo
撻	tà
撐	chēng
撲	pū
撣	dǎn
撫	fǔ
擕	xié
撟	jiǎo
撈	lāo
撥	bō
撏	xián
撪	bèn
撜	zhěng
撘	dā
撢	dǎn
撌	guì
撔	hòng
撠	jǐ
擖	qiā
摾	jiàng
撹	jiǎo
擑	jiē
擏	qíng
撛	lǐn
摨	zhì
撍	zǎn
撋	ruán
撨	xiāo
撊	xiàn
擛	yè
撎	yī
操	cāo
擀	gǎn
撼	hàn
擐	huàn
擓	kuǎi
擂	léi,lèi
擗	pǐ
撽	qiào
擅	shàn
擞	sòu,sǒu
擋	dǎng
據	jù
擄	lǔ
擇	zé
撿	jiǎn
擔	dān
擙	ào
擈	pǔ
擉	chuò
擜	è
擭	huò
擳	zhì
擝	mēng
擃	nǎng
擌	sè
擁	yōng
擦	cā
擩	rǔ
擿	tī,zhì
擤	xǐng
擢	zhuǒ
擡	tái
擣	dǎo
擰	níng
擯	bìn
擠	jǐ
擴	kuò
擱	gē
擬	nǐ
攃	cā
擮	jié
擟	mí
攁	yǎng
擨	yē
擫	yè
擲	zhì
攆	niǎn
擷	xié
攄	shū
擻	sòu
擺	bǎi
擼	lū
攂	léi
攅	zǎn
擶	jiàn
擸	liè
擽	lì
擵	mó
擾	rǎo
擹	tān
攒	cuán,zǎn
攉	huō
攌	huàn
攈	jùn
攋	là
攊	lì
攎	lú
攐	qiān
攑	qiān
攇	xiǎn
攍	yíng
攚	wěng
攘	rǎng
攖	yīng
攔	lán
攙	chān
攕	xiān
攗	méi
攓	qiān
攏	lǒng
攝	shè
攜	xié
攡	chī
攛	cuān
攧	diān
攦	lì
攢	zǎn
攤	tān
攞	luó
攟	jùn
攠	mí
攫	jué
攥	zuàn
攩	dǎng
攪	jiǎo
攨	wā
攬	lǎn
攭	lì
攮	nǎng
氵	shuǐ
汈	diāo
氾	fàn
氿	guǐ,jiǔ
汉	hàn
汇	huì
汃	pà,pā
汀	tīng
汁	zhī
氻	lè
汅	miǎn
汄	zè
汊	chà
池	chí
汏	dà,tài
汗	hán,hàn
汲	jí
江	jiāng
汔	qì
汝	rǔ
汕	shàn
汤	shāng,tàng,tāng
汜	sì
汍	wán
污	wū
汐	xī
汛	xùn
汙	wū
汚	wū
汎	fàn
汓	qiú
汌	chuàn
汣	jiǔ
汒	máng
汘	qiān
汋	zhuó
汢	tu
汑	tuō
汷	zhōng
汳	biàn
汴	biàn
沧	cāng
沉	chén
沌	dùn,zhuàn
泛	fàn
沣	fēng
沨	féng
沟	gōu
汩	gǔ,yù
沆	hàng
沪	hù
汫	jǐng
泐	lè
沥	lì
沦	lún
没	méi,mò
汶	mén,wèn
汨	mì
沔	miǎn
沐	mù
沤	òu,ōu
沛	pèi
沏	qī
汽	qì
汧	qiān
沁	qìn
汭	ruì
沙	shà,shā
沈	shěn
汰	tài
汪	wāng
沩	wéi
沃	wò
汹	xiōng
沂	yí
沅	yuán
沄	yún
汦	zhī
沚	zhǐ
沍	hù
沘	bǐ
沖	chōng
決	jué
汵	gàn
汸	fāng
汱	tài
沕	mì
汯	hóng
汻	hǔ
沎	huò
汥	zhī
泲	jǐ
洰	jù
汮	jūn
沠	pài
沒	méi
汼	niú
沑	nǜ
沜	pàn
泤	sì
沇	yǎn
汿	xù
沋	yóu
沞	zā
沢	zé
泌	bì,mì
波	bō
泊	bó,pō
沲	duǒ
法	fǎ
沸	fèi
泭	fú
泔	gān
沽	gū
河	hé
泓	hóng
浅	jiān,qiǎn
泾	jīng
泂	jiǒng
泃	jū
沮	jù,jǔ
泪	lèi
沴	lì
泠	líng
泷	lóng,shuāng
泸	lú
泺	luò
泖	mǎo
沬	mèi
沵	mǐ
泯	mǐn
沫	mò
泥	ní,nì
泞	nìng
泮	pàn
泡	pào,pāo
泙	pēng
泼	pō
泣	qì
泅	qiú
沭	shù
泗	sì
沱	tuó
泄	xiè
泻	xiè
泫	xuàn
沿	yán
泱	yāng
泆	yì
泳	yǒng
油	yóu
泽	zé
沾	zhān
沼	zhǎo
治	zhì
注	zhù
況	kuàng
泜	zhī
泝	sù
泑	yōu
泍	bēn
泟	chēng
沶	yí
泹	dàn
沰	tuō
沷	fā
泒	gū
泘	hū
泋	huì
泇	jiā
泦	jú
泬	jué
泏	chù
泧	yuè
泩	shēng
泀	sī
沺	tián
泈	zhōng
泎	zé
测	cè
浐	chǎn
泚	cǐ
洞	dòng
洏	ér
洱	ěr
洑	fú,fù
洸	guāng
浔	hǎixún,xún
洪	hóng
浒	hǔ,xǔ
洹	huán
洄	huí
浍	huì,kuài
浑	hún,hǔn
活	huó
济	jì,jǐ
洎	jì
浃	jiā
浇	jiāo
洁	jié
津	jīn
浕	jìn
洭	kuāng
洌	liè
浏	liú
洛	luò
洣	mǐ
洺	míng
浓	nóng
派	pā,pài
洴	píng
洽	qià
洳	rù
洒	sǎ
浉	shī
洮	táo
洟	tì
洼	wā
洈	wéi
洧	wěi
洿	wū
洗	xǐ,xiǎn
涎	xián
洨	xiáo
洫	xù
洵	xún
洋	yáng
洇	yīn
浈	zhēn
洲	zhōu
洙	zhū
浊	zhuó
洩	xiè
洶	xiōng
洝	àn
洆	chéng
洊	jiàn
洉	hòu
洃	huī
洚	jiàng
浄	jìng
洘	kǎo
洡	lěi
洠	sì
洀	pán
浌	pe o le
洦	pò
洓	sè
浀	qū
洤	quán
洬	sù
涏	tǐng
洐	xíng
洢	yī
浂	yì
泿	yín
洕	yìn
洅	zài
洔	zhǐ
洷	zhì
浜	bāng
浡	bó
涔	cén
涌	chōng,yǒng
涤	dí
涐	é
浮	fú
涡	guō,wō
海	hǎi
浛	hán,hàn
浩	hào
涣	huàn
浣	huàn
涧	jiàn
浸	jìn
涓	juān
浚	jùn,xùn
涞	lāi
浪	làng
涝	láo,lào
涖	lì
涟	lián
流	liú
浼	měi
涊	niǎn
涅	niè
浦	pǔ
润	rùn
涩	sè
涉	shè
涘	sì
涑	sù
涛	tāo
涕	tì
涂	tú
涠	wéi
浯	wú
浠	xī
消	xiāo
浥	yì
浴	yù
涢	yún
涨	zhàng,zhǎng
浙	zhè
浞	zhuó
浹	jiā
涇	jīng
浧	yǐng
浾	chēng
浺	chōng
浱	chún
浟	yōu
浢	dòu
淓	fāng
浲	féng
浭	gēng
浫	hǎn
涆	hàn
涥	hēng
浤	hóng
涀	xiàn
浻	jiǒng
涃	kùn
浨	lǎn
浶	láo
涙	lèi
浰	lì
浖	liè
涁	shèn
浝	máng
浽	suī
浿	pèi
涄	pīng
浗	qiú
涗	shuì
涚	shuì
洍	sì
浵	tóng
涋	tū
涒	tūn
浘	wěi
洖	wú
涍	xiào
浳	yì
淽	zhǐ
湴	bàn
淳	chún
淙	cóng
淬	cuì
淡	dàn
淀	diàn
渎	dòu,dú
淝	féi
涪	fú
淦	gàn
涫	guàn
涵	hán
淏	hào
涸	hé
淴	hū
淮	huái
混	hún,hǔn
渐	jiàn,jiān
淋	lín,lìn
淩	líng
渌	lù
渑	miǎn,shéng
淖	nào
淠	pì
淇	qí
清	qīng
渠	qú
深	shēn
渗	shèn
淑	shū
涮	shuàn
淞	sōng
淌	tǎng
淘	táo
添	tiān
淟	tiǎn
涴	wò,yuān
淅	xī
淆	xiáo
涯	yá
淹	yān
液	yè
淫	yín
淤	yū
渔	yú
淯	yù
渊	yuān
渚	zhǔ
涿	zhuō
淄	zī
渍	zì
淚	lèi
淶	lái
淒	qī
淺	qiǎn
渦	wō
淪	lún
淛	zhè
淊	yān
涼	liáng
済	jì
渀	bèn
淲	biāo
淿	bó
淐	chāng
淨	jìng
淔	zhí
涰	chuò
淂	dé
淍	zhōu
渉	shè
涷	dōng
渄	fēi
淈	gǔ
淉	guǒ
渇	kě
渮	hé
涽	hūn
淁	qiè
湕	jiǎn
涺	jū
淗	jú
淃	juàn
涳	kōng
淕	lù
淥	lù
渵	máo
淧	mì
渂	wèn
淰	niǎn
淣	ní
淎	pěng
淜	píng
渒	pài
渏	yī
淸	qīng
淭	qú
渃	ruò
渋	sè
涻	shè
渖	shěn
涭	shòu
涾	tà
涶	tuō
涹	wō
渓	xī
涬	xìng
淢	yù
渶	yīng
渁	yuān
渆	yuān
渕	yuān
涱	zhàng
渤	bó
滁	chú
湩	dòng
渡	dù
溉	gài
港	gǎng
渹	hōng
湖	hú
滑	huá
湟	huáng
溅	jiàn,jiān
湔	jiān
湫	jiǎo,jiū,qiū
湝	jiē
湨	jú
渴	kě
溃	kuì
溇	lóu
湄	méi
渼	měi
湎	miǎn
渺	miǎo
湣	mǐn
湃	pài
湓	pén
湿	shī
湜	shí
溲	sōu
溚	tǎ
湠	tàn
湉	tián
渟	tíng
湍	tuān
湾	wān
湋	wéi
渭	wèi
温	wēn
渥	wò
湘	xiāng
渫	xiè
湑	xǔ,xū
溆	xù
渲	xuàn
湮	yān
渰	yǎn
湧	yǒng
游	yóu
渝	yú
湲	yuán
渣	zhā
溠	zhā
湛	zhàn
滞	zhì
滋	zī
湊	còu
減	jiǎn
湞	zhēn
湯	tāng
渢	fēng
測	cè
湌	cān
淵	yuān
湻	chún
溈	wéi
渾	hún
溾	āi
湢	bì
湐	pò
湹	chán
湁	chì
渧	tí
湺	xián
湂	è
渪	rú
湗	fèng
溄	féng
渱	hóng
湀	guǐ
湼	niè
渙	huàn
湏	huì
湷	zhuāng
湱	huò
湒	jí
溂	lɑ
湅	liàn
湸	liàng
湰	lóng
満	mǎn
湈	méi
渳	mǐ
渿	nài
湳	nǎn
渜	nuǎn
湪	tuàn
溌	hā tū
湆	qì
湇	qì
溬	qiāng
渞	qiú
湭	qiú
湶	quán
渘	róu
溞	sāo
渻	shěng
湦	shēng
湤	shī
湥	tū
渨	wěi
溊	bō
渷	yǎn
湙	yì
湚	yìn
溁	yíng
溋	yíng
湵	yǒu
湡	yú
渽	zāi
湽	zī
滗	bì
滨	bīn
滀	chù,xù
滇	diān
滏	fǔ
滆	gé
滚	gǔn
滈	hào
滉	huàng
溷	hǔn
漷	huǒ
滘	jiào
溘	kè
滥	làn
漓	lí
溧	lì
溜	liù,liū
滦	luán
滤	lǜ
满	mǎn
漭	mǎng
溟	míng
漠	mò
溺	nì,niào
滂	pāng
溥	pǔ
溱	qín,zhēn
溶	róng
溽	rù
滠	shè
溯	sù
溻	tā
滩	tān
溏	táng
